dt,open,high,low,close,volume
2018-05-20 00:00:00+00:00,4.59e-06,4.62e-06,4.59e-06,4.61e-06,0.46652351000000003
2018-05-20 00:01:00+00:00,4.62e-06,4.62e-06,4.56e-06,4.6e-06,0.49853608
2018-05-20 00:02:00+00:00,4.57e-06,4.6e-06,4.57e-06,4.59e-06,0.15211329
2018-05-20 00:03:00+00:00,4.58e-06,4.6e-06,4.58e-06,4.6e-06,0.00251261
2018-05-20 00:04:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.00166832
2018-05-20 00:05:00+00:00,4.59e-06,4.59e-06,4.58e-06,4.58e-06,0.0041154
2018-05-20 00:06:00+00:00,4.59e-06,4.6e-06,4.59e-06,4.59e-06,0.00312799
2018-05-20 00:07:00+00:00,4.6e-06,4.6e-06,4.54e-06,4.56e-06,0.02653769
2018-05-20 00:08:00+00:00,4.59e-06,4.59e-06,4.57e-06,4.59e-06,0.01548646
2018-05-20 00:09:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:10:00+00:00,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0.00013312
2018-05-20 00:11:00+00:00,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0.00018962000000000002
2018-05-20 00:12:00+00:00,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0.0
2018-05-20 00:13:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.00011013
2018-05-20 00:14:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:15:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.006575800000000001
2018-05-20 00:16:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0002171
2018-05-20 00:17:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0
2018-05-20 00:18:00+00:00,4.58e-06,4.58e-06,4.58e-06,4.58e-06,0.00244605
2018-05-20 00:19:00+00:00,4.6e-06,4.6e-06,4.58e-06,4.58e-06,0.05515297
2018-05-20 00:20:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0023868
2018-05-20 00:21:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:22:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0029158400000000003
2018-05-20 00:23:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.00452408
2018-05-20 00:24:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:25:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.00139474
2018-05-20 00:26:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:27:00+00:00,4.59e-06,4.6e-06,4.59e-06,4.6e-06,0.02451188
2018-05-20 00:28:00+00:00,4.59e-06,4.59e-06,4.58e-06,4.59e-06,0.02172423
2018-05-20 00:29:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.0
2018-05-20 00:30:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.14961685
2018-05-20 00:31:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.00014379
2018-05-20 00:32:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0
2018-05-20 00:33:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0
2018-05-20 00:34:00+00:00,4.6e-06,4.6e-06,4.59e-06,4.59e-06,0.31263312
2018-05-20 00:35:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.079407
2018-05-20 00:36:00+00:00,4.59e-06,4.59e-06,4.57e-06,4.59e-06,0.17191716
2018-05-20 00:37:00+00:00,4.59e-06,4.59e-06,4.58e-06,4.59e-06,0.0101152
2018-05-20 00:38:00+00:00,4.58e-06,4.59e-06,4.58e-06,4.59e-06,0.00120729
2018-05-20 00:39:00+00:00,4.6e-06,4.61e-06,4.6e-06,4.61e-06,0.45795007
2018-05-20 00:40:00+00:00,4.61e-06,4.61e-06,4.61e-06,4.61e-06,0.0
2018-05-20 00:41:00+00:00,4.61e-06,4.61e-06,4.61e-06,4.61e-06,0.00059416
2018-05-20 00:42:00+00:00,4.61e-06,4.61e-06,4.61e-06,4.61e-06,0.0
2018-05-20 00:43:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.00241574
2018-05-20 00:44:00+00:00,4.59e-06,4.6e-06,4.59e-06,4.6e-06,0.00120547
2018-05-20 00:45:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0
2018-05-20 00:46:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.00011368
2018-05-20 00:47:00+00:00,4.6e-06,4.6e-06,4.59e-06,4.59e-06,0.15066869
2018-05-20 00:48:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.09982
2018-05-20 00:49:00+00:00,4.6e-06,4.6e-06,4.6e-06,4.6e-06,0.0
2018-05-20 00:50:00+00:00,4.59e-06,4.59e-06,4.59e-06,4.59e-06,0.00085056
