dt,open,high,low,close,volume
2018-05-20 00:00:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.51779143
2018-05-20 00:01:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,9.56e-06
2018-05-20 00:02:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:03:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.0018000800000000001
2018-05-20 00:04:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.0008282200000000001
2018-05-20 00:05:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:06:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2.04e-06
2018-05-20 00:07:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.2e-07,0.00625302
2018-05-20 00:08:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.004
2018-05-20 00:09:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.0002648
2018-05-20 00:10:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,0.00050077
2018-05-20 00:11:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.02349028
2018-05-20 00:12:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,0.01277046
2018-05-20 00:13:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.00162802
2018-05-20 00:14:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0747313
2018-05-20 00:15:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:16:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:17:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:18:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,4.5000000000000003e-07
2018-05-20 00:19:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:20:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,5.800000000000001e-07
2018-05-20 00:21:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:22:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00417601
2018-05-20 00:23:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:24:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1.7000000000000001e-07
2018-05-20 00:25:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.01003776
2018-05-20 00:26:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,0.03322696
2018-05-20 00:27:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,5.3e-07
2018-05-20 00:28:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00048414000000000004
2018-05-20 00:29:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,1.499e-05
2018-05-20 00:30:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00128044
2018-05-20 00:31:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00538389
2018-05-20 00:32:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:33:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1.23e-06
2018-05-20 00:34:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:35:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.1e-07,0.00266264
2018-05-20 00:36:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1.014e-05
2018-05-20 00:37:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.00026661
2018-05-20 00:38:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,0.00059736
2018-05-20 00:39:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.00210596
2018-05-20 00:40:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.00127782
2018-05-20 00:41:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.0
2018-05-20 00:42:00+00:00,5.2e-07,5.2e-07,5.1e-07,5.1e-07,0.00587154
2018-05-20 00:43:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.0
2018-05-20 00:44:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00756002
2018-05-20 00:45:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2.286e-05
2018-05-20 00:46:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00098378
2018-05-20 00:47:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.00778136
2018-05-20 00:48:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00099999
2018-05-20 00:49:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,2.43e-06
2018-05-20 00:50:00+00:00,5.1e-07,5.2e-07,5.1e-07,5.1e-07,0.01130771
2018-05-20 00:51:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.00448953
2018-05-20 00:52:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.00034369
2018-05-20 00:53:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00034638000000000003
2018-05-20 00:54:00+00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.00249693
2018-05-20 00:55:00+00:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.0102
